"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45440314037.5347;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****205";;;;;;;;"28.05.2024 07:32:13";"Programm/Schrittnummer Status des VM ist : 20*****205";
45440314049.1088;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****210";;;;;;;;"28.05.2024 07:32:14";"Programm/Schrittnummer Status des VM ist : 20*****210";
45440314193.7847;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 07:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440314193.7847;1;1;3;240001;;;;;;;;;"28.05.2024 07:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440314193.7847;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 07:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440319511.8981;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****230";;;;;;;;"28.05.2024 07:40:06";"Programm/Schrittnummer Status des VM ist : 20*****230";
45440319523.4722;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****235";;;;;;;;"28.05.2024 07:40:07";"Programm/Schrittnummer Status des VM ist : 20*****235";
45440319535.0463;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****245";;;;;;;;"28.05.2024 07:40:08";"Programm/Schrittnummer Status des VM ist : 20*****245";
45440319812.8241;1;1;3;60000;"Anlagezustand-VM : Bereit für Beschichtung ";;;;;;;;"28.05.2024 07:40:32";"Anlagezustand-VM : Bereit für Beschichtung ";
45440319812.8241;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 2*****290";;;;;;;;"28.05.2024 07:40:32";"Programm/Schrittnummer Status des VM ist : 2*****290";
45440319817.5231;1;1;3;60000;"Anlagezustand-BM : Bereit für Beschichtung ";;;;;;;;"28.05.2024 07:40:32";"Anlagezustand-BM : Bereit für Beschichtung ";
45440321138.2292;1;1;3;240001;;;;;;;;;"28.05.2024 07:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440321138.2292;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 07:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440321138.2292;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 07:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440328083.4028;1;1;3;240001;;;;;;;;;"28.05.2024 07:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440328083.4028;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 07:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440328083.4028;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 07:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440335027.3032;1;1;3;240001;;;;;;;;;"28.05.2024 08:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440335027.3032;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440335027.3032;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440335605.1042;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 110*****1100";;;;;;;;"28.05.2024 08:03:16";"Programm/Schrittnummer Status des BM ist : 110*****1100";
45440335605.1042;1;1;3;60000;"Anlagezustand-BM : Anfahren Quelle einrichten  ";;;;;;;;"28.05.2024 08:03:16";"Anlagezustand-BM : Anfahren Quelle einrichten  ";
45440335639.4676;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 110*****1105";;;;;;;;"28.05.2024 08:03:19";"Programm/Schrittnummer Status des BM ist : 110*****1105";
45440335673.6458;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1110";;;;;;;;"28.05.2024 08:03:22";"Programm/Schrittnummer Status des BM ist : 11*****1110";
45440335673.6458;1;1;3;60000;"Anlagezustand-BM : Quelle einrichten ";;;;;;;;"28.05.2024 08:03:22";"Anlagezustand-BM : Quelle einrichten ";
45440335708.3681;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1115";;;;;;;;"28.05.2024 08:03:25";"Programm/Schrittnummer Status des BM ist : 11*****1115";
45440336425.7755;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1125";;;;;;;;"28.05.2024 08:04:27";"Programm/Schrittnummer Status des BM ist : 11*****1125";
45440336495.0347;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1130";;;;;;;;"28.05.2024 08:04:33";"Programm/Schrittnummer Status des BM ist : 11*****1130";
45440336576.4236;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1140";;;;;;;;"28.05.2024 08:04:40";"Programm/Schrittnummer Status des BM ist : 11*****1140";
45440336808.0787;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1165";;;;;;;;"28.05.2024 08:05:00";"Programm/Schrittnummer Status des BM ist : 11*****1165";
45440336819.4792;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1170";;;;;;;;"28.05.2024 08:05:01";"Programm/Schrittnummer Status des BM ist : 11*****1170";
45440336830.5093;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 11*****1185";;;;;;;;"28.05.2024 08:05:02";"Programm/Schrittnummer Status des BM ist : 11*****1185";
45440336865.2315;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 2*****290";;;;;;;;"28.05.2024 08:05:05";"Programm/Schrittnummer Status des BM ist : 2*****290";
45440336865.2315;1;1;3;60000;"Anlagezustand-BM : Bereit für Beschichtung ";;;;;;;;"28.05.2024 08:05:05";"Anlagezustand-BM : Bereit für Beschichtung ";
45440337837.4537;1;1;3;60000;"Anlagezustand-BM : Prozess starten  ";;;;;;;;"28.05.2024 08:06:29";"Anlagezustand-BM : Prozess starten  ";
45440337837.4537;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****300";;;;;;;;"28.05.2024 08:06:29";"Programm/Schrittnummer Status des BM ist : 30*****300";
45440337860.6019;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****305";;;;;;;;"28.05.2024 08:06:31";"Programm/Schrittnummer Status des BM ist : 30*****305";
45440337895.4977;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****315";;;;;;;;"28.05.2024 08:06:34";"Programm/Schrittnummer Status des BM ist : 30*****315";
45440337953.0093;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****325";;;;;;;;"28.05.2024 08:06:39";"Programm/Schrittnummer Status des BM ist : 30*****325";
45440337976.3426;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****335";;;;;;;;"28.05.2024 08:06:41";"Programm/Schrittnummer Status des BM ist : 30*****335";
45440338693.9352;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****345";;;;;;;;"28.05.2024 08:07:43";"Programm/Schrittnummer Status des BM ist : 30*****345";
45440338763.3796;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****350";;;;;;;;"28.05.2024 08:07:49";"Programm/Schrittnummer Status des BM ist : 30*****350";
45440338821.0648;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****355";;;;;;;;"28.05.2024 08:07:54";"Programm/Schrittnummer Status des BM ist : 30*****355";
45440338832.6389;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****365";;;;;;;;"28.05.2024 08:07:55";"Programm/Schrittnummer Status des BM ist : 30*****365";
45440338844.3982;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****370";;;;;;;;"28.05.2024 08:07:56";"Programm/Schrittnummer Status des BM ist : 30*****370";
45440341972.6505;1;1;3;240001;;;;;;;;;"28.05.2024 08:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440341972.6505;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440341972.6505;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:12:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440348916.1921;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440348916.1921;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440348916.1921;1;1;3;240001;;;;;;;;;"28.05.2024 08:22:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440352732.3843;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 30*****375";;;;;;;;"28.05.2024 08:27:56";"Programm/Schrittnummer Status des BM ist : 30*****375";
45440355860.6366;1;1;3;240001;;;;;;;;;"28.05.2024 08:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440355860.6366;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440355860.6366;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440362805.9838;1;1;3;240001;;;;;;;;;"28.05.2024 08:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440362805.9838;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440362805.9838;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440366331.0185;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 3*****390";;;;;;;;"28.05.2024 08:47:31";"Programm/Schrittnummer Status des BM ist : 3*****390";
45440366331.0185;1;1;3;60000;"Anlagezustand-BM : Prozess läuft ";;;;;;;;"28.05.2024 08:47:31";"Anlagezustand-BM : Prozess läuft ";
45440369749.7106;1;1;3;240001;;;;;;;;;"28.05.2024 08:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440369749.7106;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 08:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440369749.7106;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 08:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440376694.6875;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440376694.6875;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440376694.6875;1;1;3;240001;;;;;;;;;"28.05.2024 09:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440383638.5995;1;1;3;240001;;;;;;;;;"28.05.2024 09:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440383638.5995;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440383638.5995;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:12:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440390583.5764;1;1;3;240001;;;;;;;;;"28.05.2024 09:22:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440390583.5764;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440390583.5764;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440397527.662;1;1;3;240001;;;;;;;;;"28.05.2024 09:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440397527.662;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440397527.662;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440404471.7477;1;1;3;240001;;;;;;;;;"28.05.2024 09:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440404471.7477;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440404471.7477;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440411417.0949;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 09:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440411417.0949;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 09:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440411417.0949;1;1;3;240001;;;;;;;;;"28.05.2024 09:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440418360.9954;1;1;3;240001;;;;;;;;;"28.05.2024 10:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440418360.9954;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440418360.9954;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440425305.2662;1;1;3;240001;;;;;;;;;"28.05.2024 10:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440425305.2662;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440425305.2662;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:12:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440432249.5255;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440432249.5255;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440432249.5255;1;1;3;240001;;;;;;;;;"28.05.2024 10:22:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440439194.5139;1;1;3;240001;;;;;;;;;"28.05.2024 10:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440439194.5139;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440439194.5139;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440446138.5995;1;1;3;240001;;;;;;;;;"28.05.2024 10:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440446138.5995;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440446138.5995;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440453083.7616;1;1;3;240001;;;;;;;;;"28.05.2024 10:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440453083.7616;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 10:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440453083.7616;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 10:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
