Time_ms;MsgProc;StateAfter;MsgClass;MsgNumber;Var1;Var2;Var3;Var4;Var5;Var6;Var7;Var8;TimeString;MsgText;PLC
45408574958;2;0;64;35;;;;;;;;;26.04.2024 13:47;Warnung Temperatur Vorpumpe 1;VM
45408575016;2;1;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575097;2;0;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575236;2;1;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575247;2;0;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575328;2;1;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575340;2;0;64;35;;;;;;;;;26.04.2024 13:48;Warnung Temperatur Vorpumpe 1;VM
45408575551;2;1;64;78;;;;;;;;;26.04.2024 13:48;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408575563;2;0;64;78;;;;;;;;;26.04.2024 13:48;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408577284;2;1;64;35;;;;;;;;;26.04.2024 13:51;Warnung Temperatur Vorpumpe 1;VM
45408577319;2;0;64;35;;;;;;;;;26.04.2024 13:51;Warnung Temperatur Vorpumpe 1;VM
45408577354;2;1;64;35;;;;;;;;;26.04.2024 13:51;Warnung Temperatur Vorpumpe 1;VM
45408578040;2;1;64;78;;;;;;;;;26.04.2024 13:52;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408578074;2;0;64;78;;;;;;;;;26.04.2024 13:52;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408578132;2;1;64;78;;;;;;;;;26.04.2024 13:52;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408578144;2;0;64;78;;;;;;;;;26.04.2024 13:52;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408584880;2;1;64;78;;;;;;;;;26.04.2024 14:02;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408584891;2;0;64;78;;;;;;;;;26.04.2024 14:02;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408601685;2;1;64;78;;;;;;;;;26.04.2024 14:26;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408601708;2;0;64;78;;;;;;;;;26.04.2024 14:26;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408603317;2;1;64;78;;;;;;;;;26.04.2024 14:28;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408603351;2;0;64;78;;;;;;;;;26.04.2024 14:28;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408604474;2;1;64;78;;;;;;;;;26.04.2024 14:30;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408604486;2;0;64;78;;;;;;;;;26.04.2024 14:30;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408632088;1;1;3;60000;Programm/Schrittnummer Status des BM ist : 3*****390;;;;;;;;26.04.2024 15:10;Programm/Schrittnummer Status des BM ist : 3*****390;
45408632088;1;1;3;60000;Anlagezustand-BM : Prozess läuft ;;;;;;;;26.04.2024 15:10;Anlagezustand-BM : Prozess läuft ;
45408637343;2;1;64;78;;;;;;;;;26.04.2024 15:17;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408637355;2;0;64;78;;;;;;;;;26.04.2024 15:17;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408643755;2;1;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408643766;2;0;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408644380;2;1;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408644391;2;0;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408644415;2;1;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408644438;2;0;64;78;;;;;;;;;26.04.2024 15:27;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408647057;2;1;64;130;;;;;;;;;26.04.2024 15:31;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408647404;2;0;64;130;;;;;;;;;26.04.2024 15:32;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408654117;2;1;64;130;;;;;;;;;26.04.2024 15:41;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408654464;2;0;64;130;;;;;;;;;26.04.2024 15:42;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408672897;2;1;64;78;;;;;;;;;26.04.2024 16:08;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408672909;2;0;64;78;;;;;;;;;26.04.2024 16:08;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408687306;2;1;64;78;;;;;;;;;26.04.2024 16:29;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408687318;2;0;64;78;;;;;;;;;26.04.2024 16:29;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408699945;2;1;64;78;;;;;;;;;26.04.2024 16:47;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408699956;2;0;64;78;;;;;;;;;26.04.2024 16:47;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408710894;2;1;64;78;;;;;;;;;26.04.2024 17:03;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408710905;2;0;64;78;;;;;;;;;26.04.2024 17:03;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408724111;2;1;64;78;;;;;;;;;26.04.2024 17:22;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408724122;2;0;64;78;;;;;;;;;26.04.2024 17:22;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408731252;2;1;64;78;;;;;;;;;26.04.2024 17:33;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408731275;2;0;64;78;;;;;;;;;26.04.2024 17:33;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408738936;2;1;64;78;;;;;;;;;26.04.2024 17:44;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408738948;2;0;64;78;;;;;;;;;26.04.2024 17:44;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408741367;2;1;64;78;;;;;;;;;26.04.2024 17:47;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408741378;2;0;64;78;;;;;;;;;26.04.2024 17:47;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408742154;2;1;64;78;;;;;;;;;26.04.2024 17:48;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408742165;2;0;64;78;;;;;;;;;26.04.2024 17:48;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408743635;2;1;64;78;;;;;;;;;26.04.2024 17:50;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408743647;2;0;64;78;;;;;;;;;26.04.2024 17:50;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408747431;2;1;64;78;;;;;;;;;26.04.2024 17:56;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408747443;2;0;64;78;;;;;;;;;26.04.2024 17:56;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408750626;2;1;64;78;;;;;;;;;26.04.2024 18:00;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408750637;2;0;64;78;;;;;;;;;26.04.2024 18:00;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408750649;2;1;64;78;;;;;;;;;26.04.2024 18:00;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408750661;2;0;64;78;;;;;;;;;26.04.2024 18:00;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408751158;2;1;64;78;;;;;;;;;26.04.2024 18:01;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408751170;2;0;64;78;;;;;;;;;26.04.2024 18:01;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408754399;2;1;64;78;;;;;;;;;26.04.2024 18:06;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408754410;2;0;64;78;;;;;;;;;26.04.2024 18:06;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408758704;2;1;64;78;;;;;;;;;26.04.2024 18:12;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408758739;2;0;64;78;;;;;;;;;26.04.2024 18:12;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408767234;2;1;64;78;;;;;;;;;26.04.2024 18:24;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408767246;2;0;64;78;;;;;;;;;26.04.2024 18:24;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408768384;2;1;64;130;;;;;;;;;26.04.2024 18:26;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408768731;2;0;64;130;;;;;;;;;26.04.2024 18:26;Warnung Thermoelement Bandheizer Zone 2 defekt;SM
45408775856;2;1;64;78;;;;;;;;;26.04.2024 18:37;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408775880;2;0;64;78;;;;;;;;;26.04.2024 18:37;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408780347;2;1;64;78;;;;;;;;;26.04.2024 18:43;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408780358;2;0;64;78;;;;;;;;;26.04.2024 18:43;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408788344;2;1;64;78;;;;;;;;;26.04.2024 18:55;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
45408788356;2;0;64;78;;;;;;;;;26.04.2024 18:55;Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab;AME
