Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
0;209.9;157.8;202.7;570.4
1;210.1;157.9;203.7;571.8
2;209.5;157.5;203.4;570.4
3;209.3;157.6;203.8;570.7
4;209.4;157.3;204;570.8
5;209.7;157.3;203.5;570.5
6;209.4;157;203.9;570.4
7;209.2;157;203.2;569.4
8;209.4;157.3;350.2;716.9
9;1110;1354;1236;3700
10;1840;1205;723.9;3769
11;1358;1934;2274;5567
12;2234;1398;2477;6109
13;1837;2561;2602;7000
14;1133;2934;3069;7135
15;5635;3124;2847;11610
16;3427;2403;3848;9679
17;4024;3557;4548;12130
18;3096;2794;1573;7464
19;2752;5289;5912;13950
20;5336;4200;2929;12460
21;4992;5386;4571;14950
22;2495;5922;3986;12400
23;5049;5422;5342;15810
24;3538;2933;2116;8587
25;4068;3581;4442;12090
26;3589;6809;4237;14640
27;8767;6625;8098;23490
28;3099;2799;3235;9133
29;7149;6931;5877;19960
30;4877;8251;6005;19130
31;7173;4284;4039;15500
32;7664;9545;9210;26420
33;7091;5291;5592;17970
34;3173;5988;4306;13470
35;7385;6120;8409;21910
36;7640;9599;6407;23650
37;6162;3850;6020;16030
38;10300;11160;11220;32690
39;7703;5576;3666;16950
40;9115;12510;13340;34970
41;4261;4851;3770;12880
42;12330;11420;11330;35080
43;5710;8409;7863;21980
44;14580;9737;10180;34500
45;3636;6339;6920;16900
46;8052;9958;10070;28080
47;8150;6919;6392;21460
48;8873;11110;8493;28480
49;6966;5294;8467;20730
50;9787;10610;8340;28730
51;8537;8966;10750;28260
52;11570;10270;5625;27460
53;6546;8619;9550;24710
54;10930;10840;9136;30910
55;6930;6025;6084;19040
56;12540;12950;12150;37640
57;6821;6087;7214;20120
58;8653;6801;6368;21820
59;11230;10460;12140;33820
60;8795;7879;5061;21740
61;11380;9570;12080;33030
62;8969;9978;10060;29010
63;10850;8182;8185;27210
64;9324;11300;11120;31750
65;10640;9965;7851;28460
66;7002;6514;9084;22600
67;11140;11520;12560;35230
